Product Number	Product Name	Product Description
1	ACDC Solar Generator  Oasis 2x24	"Our company specializes in producing outdoor energy storage products that offer exceptional quality and reliability Our products are designed to meet the needs of a wide range of applications from powering outdoor lighting systems to supporting remote offgrid power systems

  Features

  Oasis Brings Professional OffGrid Power to Battery Generator
  LFP Chemistry for Safety 802500 Full Cycle Life
  Smart MPPT for Solar Efficiency
  Crystalline Silicon Solar Panel 

  Descriptions
 Energy Independence Our products enable offgrid areas to become selfsufficient by providing reliable ondemand power without relying on traditional grid infrastructure
 Improved Resilience Our products provide backup power during power outages helping to improve the resilience of offgrid communities and businesses
 Ease of Maintenance Energy storage products are typically lowmaintenance with few moving parts and long lifetimes making them an attractive option for offgrid areas with limited access to maintenance resources
 Cost Savings Energy storage products can reduce energy costs by storing excess energy generated during times of low demand and using it during peak demand periods thereby reducing the need to rely on expensive backup generators
 Ease of Maintenance Our products are typically lowmaintenance with few moving parts and long lifetimes making them an attractive option for offgrid areas with limited access to maintenance resources"
2	ACDC Solar Generator  Oasis 067x07	"The Solar Power Generator 067kWh is the latest product to be added to OVES product portfolio

The Solar Power Generator 0674kWh is a versatile and efficient solution for powering both DC and AC small appliances 

Our energy storage products boast highquality wideranging applications and stable performance

  Features

  Oasis Brings Professional OffGrid Power to Battery Generator
  NMC Chemistry for Safety 801000 Full Cycle Life
  Smart MPPT for Solar Efficiency
  Crystalline Silicon Solar Panel 

  Descriptions
 Versatility Our products can be used to power a wide range of devices and appliances from small electronics to entire homes
 Charging options Our products offer multiple charging options such as solar AC and DC charging This allows for flexibility in charging and can be useful in offgrid scenarios
 Portability Our products are designed to be portable and lightweight making them ideal for outdoor activities camping and emergencies
 Emergency Our products can be used as backup power sources during emergencies such as natural disasters or power outages
 Renewability Our products can be used in conjunction with renewable energy sources such as solar allowing offgrid users to generate and store their own clean energy"
3	ovEgo S3	Solar 40
4	LUMN Home 1000lm 40Wh12W	"This LUMN Home Solar Light System is one of the best lighting systems in the small home system category
The kit comprises of

 Two bright and efficient lamps each operating at an impressive 200lm per watt 
 One Security Lamp and One Tube Light
 Three brightness levels to cater to varying lighting needs
 Incorporates a robust and longlasting solar panel
 Convenient smartphone charger holder
 Wireless wallmount light switch
 WallMount Battery Hub with Practical Display and Keypad
 Capability to expand and customize by adding additional batteries panels lamps and other components

The LUMN Home Solar Light System is a highquality lighting solution designed for small homes featuring two efficient lamps a security lamp and a tube light all providing 200lm per watt With three brightness levels and a durable solar panel this system offers flexibility and reliability The wireless wallmount light switch and smartphone charger holder make it easy to use while the wallmount battery hub with a practical display and keypad provides efficient charging and comprehensive protection

The Battery Hub is a standout component of this system featuring MPPT solar charging Bluetooth Low Energy BLE GATT regulated DC 12V and USB outputs PAYG enables comprehensive protections and the option for GSM connectivity The system can also be expanded with additional batteries panels lamps and other components offering maximum flexibility for homeowners This product comes with a warranty and has been tested and certified to IEC TS 6225798 standards ensuring quality and reliability

Overall the LUMN Home Solar Light System is an excellent lighting solution for small homes combining reliability flexibility and efficiencyhub could also be used as an external source of power if needed 

This product comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards

Please check out the datasheet for the detailed product specifications 

Product Model SHS4012W_T4_L22_S2"
5	Solar Light System M630X with Radio	" Solar Light System M630X

The LUMN Solar Light System M630 is a highly acclaimed and exceptionally bright solution in the small home system category 

The Kit Comprises Of
	12W Solar Panel
	Three Main LED Lamp All with Builtin Lithium Battery Pack
	A Remote Control Torch
	An AMFM Radio

The lamps have three brightness levels and can illuminate up to three rooms simultaneously at night They also serve as versatile tools and even chargers for phones or radios

Its torch can be used as a desk lamp and as a remote control to turn onoff the LED lamps and adjust brightness levels

The radio emits a sufficient volume for outdoor usage and supports compatibility with FMAM Mp3 and TF cards

Moreover this product is backed by a warranty and has been rigorously tested and certified to meet the IEC TS 6225798 quality standards As such customers can trust its performance and reliability For detailed information about the product specifications refer to the datasheet

In summary the LUMN Solar Light System M630 is an excellent choice for those seeking a bright and versatile lighting solution for small homes or other applications Its reliable performance multiple brightness settings and versatility make it stand out in its category And with its warranty and certification to quality standards customers can rest assured that they are getting a highquality product"
6	48Ah Solar Battery Pack	"This CAMP Solar Shop Pack is a great seller andCan be applied to a variety of 24V products
The 24V DC System Includes the
	375W Solar Panel
	48Ah Lithium Battery Hub


This product is suitable for the auxiliary power system of households and stores and can provide a basic power guarantee for a family Reliable power supply for 24V DC products such as refrigerators soya milk machines and pasta mills


This product PAYG is available and comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards Have a look at the datasheet for detailed product specifications

Product Model HS2A1229"
7	42Ah Solar Charging Business Pack	"This CAMP Solar pack is convenient for running a fully functional charging station business
The 12V DC system Includes
	162W Solar Panel
	538wh Lithium Battery Hub
	Two 10slot Charging Station
	One LED tube lights
	Two LED bulbs
	One Security Light
	One Dimmable Torch and Remote Controller 


The charging station has 10 powerful charging ports for charging any 5V devices such as cellphones and radios as people need to constantly stay connected with family member keep up with trending news get in touch with clients and keep updated on online elearning and education The system is also fitted with overload protection for safe phonecharging
The LED tube light and LED bulbs can be used for home and business lighting as they are very bright as they have a unique modern design that shine brightest in the dark 
This product is PAYG available comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards
Have a look at the datasheet for the detailed product specifications


Product Model HS2538_LB22_SL2_LT4_CSA5555_EX33_TC33"
8	42Ah Solar Fan  Sewing Machine Pack	"This CAMP Solar Sewing Machine amp Lighting Pack is a great seller and the brightest light pack at the market entry level
The 12V DC System Includes the
	162W Solar Panel
	42Ah Lithium Battery Hub
	Metallic Sewing Machine
	16 Inch Standing Fan
	Two LED Bulbs
	One LED Tube
	One Dimmable Torch and Remote Controller 

This pack is very convenient as it has a fan with a quality sewing machine which is suitable for families and garment factories in sewing complex fabric and material clothing It includes all the basic sewing components an industrial tailor may need The sewing machine is metallic and fitted with a highpower DC motor and 60 different stitch patterns for doing embroideries

And the fan has a highly efficient noiseless and brushless motor giving your home and shop an elegant and modern feeling Its 3speed levels will enable you to adjust to your preferred rate of cooling air in your home or office

LED bulbs and tube lights can be used for home and business lighting as they are very bright and have a unique modern design that shines brightest in the dark

This product  PAYG is available and comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards Have a look at the datasheet for detailed product specifications

Product Model HS2538_LB22_LT4_SF_SEWB_EX33_TC33"
9	18Ah Solar Public Address System	"This CAMP Solar system is one of the most popular solar sound systems in the market
The DC System Includes
	75W Solar Panel
	18Ah Lithium Battery
	Trolley MultiFunctional PA
	Two Wireless Microphones

This pack is the most reliable sound system for events such as roadshow campaigns weddings churches karaoke and other fun filled events as it comes in a trolley design making it very portable The system is equipped with USBSD card functionalities can connect to Bluetooth devices has a digital FM radio for local radio stations a remote control and two wireless microphones

This product is PAYG available comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards

Have a look at the datasheet for the detailed product specifications

Product Model HS2A230_PA"
10	18Ah Solar Sewing Machine Pack	"This CAMP Solar pack is one of the most popular productive utility solar packs in the market
The 12V DC System Includes
	110W Solar Panel
	18Ah Lithium Battery Hub
	Metallic Sewing Machine
	One LED Tube Light
	Torch

This pack is suitable for families and garment factories in sewing hard fabric and material clothing as it includes all the basic sewing components an industrial tailor may need The sewing machine is metallic and fitted with a highpower DC motor and 60 different stitch patterns for doing embroideries The LED tube can be used for business lighting as they are very bright as they have a unique modern design that shine brightest in the dark

This product is PAYG available comes with a warranty and has been tested and certified to IEC TS 6225798 quality standards

Have a look at the datasheet for the detailed product specifications

Product Model HS2B230_LT4_SEWB"
